Funder,Category,Region,Description,Link
Mastercard Foundation - Program 1,Education,Kenya,Funding for Kenyan students.,https://www.google.com/search?q=Mastercard+Foundation+apply
USAID - Program 2,Farmers/Agriculture,Africa,Funding for farmers.,https://www.google.com/search?q=USAID+apply
Gates Foundation - Program 3,Nursing/Health,Global,Health scholarships.,https://www.google.com/search?q=Gates+Foundation+apply
Tony Elumelu Foundation - Program 4,Skills/TVET,Africa,Entrepreneurship $5000.,https://www.google.com/search?q=Tony+Elumelu+Foundation+apply
FAO - Program 5,Farmers/Agriculture,Global,Agriculture grants.,https://www.google.com/search?q=FAO+apply
World Bank - Program 6,Education,Global,World Bank education grants.,https://www.google.com/search?q=World+Bank+grants+apply
AfDB - Program 7,Farmers/Agriculture,Africa,African Development Bank.,https://www.google.com/search?q=AfDB+apply
UNDP - Program 8,Youth/Women,Global,UNDP youth empowerment.,https://www.google.com/search?q=UNDP+apply
DAAD - Program 9,Education,Global,German scholarships.,https://www.google.com/search?q=DAAD+apply
Chevening - Program 10,Education,Global,UK Chevening scholarships.,https://www.google.com/search?q=Chevening+apply
